id,label,timeset,clustering,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,indegree,outdegree,degree
CH101,CH101,,0.0,4.0,0.45,0.5462962962962963,0.0,0.01563136399214456,2,0,2,2
CH375,CH375,,0.10000000149011612,3.0,0.625,0.7666666666666667,0.007142857142857143,0.02891931656255354,2,2,3,5
CH151,CH151,,0.0,4.0,0.45,0.5462962962962963,0.0,0.01563136399214456,2,0,2,2
CH387,CH387,,0.1666666716337204,2.0,0.75,0.8333333333333334,0.004761904761904762,0.023824392113964782,2,1,2,3
PH202,PH202,,0.0,2.0,0.6666666666666666,0.75,0.0,0.01563136399214456,1,0,1,1
KN360,KN360,,0.0,1.0,1.0,1.0,0.0015873015873015873,0.04220726913296252,1,2,1,3
PH252,PH252,,0.0,2.0,0.6666666666666666,0.75,0.0,0.01563136399214456,1,0,1,1
PL100,PL100,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,0,0,3,3
KN365,KN365,,0.0,0.0,0.0,0.0,0.0,0.024489999039083877,0,2,0,2
PL150,PL150,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,0,0,3,3
KN460,KN460,,0.0,1.0,1.0,1.0,0.003968253968253968,0.032402446437479214,1,2,1,3
KN355,KN355,,0.0,2.0,0.75,0.8333333333333334,0.0,0.01563136399214456,1,0,2,2
KN465,KN465,,0.0,0.0,0.0,0.0,0.0,0.05814555643786141,1,2,0,2
CH102,CH102,,0.0,2.0,0.75,0.8333333333333334,0.003968253968253968,0.02891931656255354,2,2,2,4
CH383,CH383,,0.0,1.0,1.0,1.0,0.0031746031746031746,0.03456488246007938,2,2,1,3
CH152,CH152,,0.0,2.0,0.75,0.8333333333333334,0.0,0.01563136399214456,2,0,2,2
CH384,CH384,,0.0,0.0,0.0,0.0,0.0,0.045014272084856394,2,1,0,1
CH385,CH385,,0.5,1.0,1.0,1.0,0.0,0.023824392113964782,2,1,1,2
CH460,CH460,,0.10000000149011612,0.0,0.0,0.0,0.0,0.07313922906229009,2,5,0,5
PL361,PL361,,0.0,0.0,0.0,0.0,0.0,0.024489999039083877,0,2,0,2
MA376,MA376,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,3,0,1,1
PL391,PL391,,0.0,0.0,0.0,0.0,0.0,0.0554952217033715,3,3,0,3
PL386,PL386,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,3,0,1,1
PL390,PL390,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,3,0,1,1
PL394,PL394,,0.0,0.0,0.0,0.0,0.0,0.024489999039083877,0,2,0,2
KN455,KN455,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,1,0,1,1
KN480,KN480,,0.0,0.0,0.0,0.0,0.0,0.05645600917556427,1,2,0,2
PH201,PH201,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,4,0,2,2
PH206,PH206,,0.0,0.0,0.0,0.0,0.0,0.042207269132962515,4,4,0,4
PH205,PH205,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,4,0,2,2
PH251,PH251,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,4,0,2,2
PH255,PH255,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,4,0,2,2
PH256,PH256,,0.0,0.0,0.0,0.0,0.0,0.042207269132962515,4,4,0,4
IT105,IT105,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,5,0,2,2
CY305,CY305,,0.0,0.0,0.0,0.0,0.0,0.02891931656255354,5,2,0,2
IT155,IT155,,0.0,1.0,1.0,1.0,0.0,0.01563136399214456,5,0,2,2
CY355,CY355,,0.0,0.0,0.0,0.0,0.0,0.02891931656255354,5,2,0,2
